                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                0.73401,                0.34678,                0.77902,                0.89438,                0.72391,                0.78991,                0.56115,                 0.7843,                0.37115,                0.79226,             0.00044563,             0.00044563,             0.00044563
                     67,                0.72217,                 0.3436,                0.78144,                0.95843,                0.69408,                0.80033,                0.57994,                0.78758,                0.37668,                0.79203,             0.00043325,             0.00043325,             0.00043325
                     68,                0.73216,                0.34566,                0.77931,                0.81637,                0.73546,                0.79005,                0.56368,                 0.7984,                0.37921,                0.79379,             0.00042087,             0.00042087,             0.00042087
                     69,                0.71338,                0.34193,                0.77901,                0.91101,                0.72671,                0.80927,                0.55646,                0.80341,                0.37141,                0.79328,              0.0004085,              0.0004085,              0.0004085
                     70,                0.74128,                 0.3499,                0.78091,                0.94221,                0.75288,                0.81687,                0.58164,                0.77997,                0.35811,                0.79322,             0.00039613,             0.00039613,             0.00039613
                     71,                0.73391,                0.34353,                0.77798,                0.96824,                0.72914,                0.81114,                0.59092,                0.76501,                0.36504,                0.79272,             0.00038375,             0.00038375,             0.00038375
                     72,                0.72283,                0.33569,                0.77725,                0.97237,                0.72421,                0.81524,                0.57847,                0.76904,                0.36395,                 0.7918,             0.00037138,             0.00037138,             0.00037138
                     73,                0.69752,                0.32537,                0.77801,                 0.9438,                0.71767,                0.80174,                0.57089,                0.77812,                 0.3651,                0.79306,               0.000359,               0.000359,               0.000359
                     74,                0.70937,                0.32914,                0.77915,                0.95162,                0.72064,                0.80506,                0.58151,                0.76553,                0.36041,                 0.7908,             0.00034663,             0.00034663,             0.00034663
                     75,                0.70624,                0.32641,                0.77831,                0.94826,                0.73013,                0.81291,                 0.5909,                0.77179,                0.36088,                0.79131,             0.00033425,             0.00033425,             0.00033425
                     76,                0.68015,                0.32102,                0.77708,                0.95138,                 0.7037,                0.81446,                0.58828,                0.76809,                0.35505,                0.79223,             0.00032188,             0.00032188,             0.00032188
                     77,                 0.6987,                0.32511,                0.77805,                0.94573,                 0.7276,                0.82052,                0.58756,                0.76833,                 0.3633,                0.79051,              0.0003095,              0.0003095,              0.0003095
                     78,                0.72182,                 0.3331,                0.77777,                0.97663,                0.71071,                 0.8026,                0.56739,                0.77653,                 0.3639,                0.79109,             0.00029713,             0.00029713,             0.00029713
                     79,                0.69106,                0.32045,                0.77651,                0.96015,                0.71074,                0.81574,                0.59222,                0.78502,                0.35995,                0.79174,             0.00028475,             0.00028475,             0.00028475
                     80,                0.68989,                0.32042,                0.77677,                0.95924,                0.70759,                0.80889,                0.57916,                0.76722,                0.35927,                0.79145,             0.00027237,             0.00027237,             0.00027237
                     81,                0.66517,                0.31353,                0.77705,                0.95511,                0.72225,                0.79975,                0.58587,                0.74867,                0.35949,                0.78931,                0.00026,                0.00026,                0.00026
                     82,                0.66261,                0.31194,                0.77522,                0.94707,                0.73108,                0.80506,                0.58223,                0.75817,                0.35841,                0.78997,             0.00024762,             0.00024762,             0.00024762
                     83,                0.65961,                0.31106,                0.77728,                0.96259,                0.72107,                0.80726,                 0.5772,                0.76325,                0.35855,                0.79078,             0.00023525,             0.00023525,             0.00023525
                     84,                0.68494,                0.31872,                 0.7762,                0.94111,                 0.7199,                0.79858,                0.56915,                 0.7971,                0.35516,                0.79284,             0.00022288,             0.00022288,             0.00022288
                     85,                0.67314,                0.31566,                0.77368,                0.95681,                0.71072,                0.80991,                0.60167,                0.75004,                0.34766,                0.78978,              0.0002105,              0.0002105,              0.0002105
                     86,                 0.6529,                0.30588,                0.77647,                0.96827,                0.71024,                0.80493,                0.58032,                 0.7659,                0.36448,                0.78972,             0.00019813,             0.00019813,             0.00019813
                     87,                0.65947,                0.31054,                0.77498,                0.95607,                0.71525,                0.80517,                0.58713,                0.77539,                0.35183,                0.79083,             0.00018575,             0.00018575,             0.00018575
                     88,                0.66867,                0.31017,                0.77487,                0.89677,                0.74529,                0.79981,                0.58245,                 0.7563,                0.35321,                0.79151,             0.00017338,             0.00017338,             0.00017338
                     89,                0.64245,                0.30305,                0.77464,                0.93943,                0.71875,                0.81206,                0.58581,                0.76267,                0.34631,                 0.7911,               0.000161,               0.000161,               0.000161
                     90,                0.64147,                0.30315,                0.77579,                0.95618,                0.72301,                0.81657,                 0.5894,                0.75548,                0.34337,                0.78979,             0.00014862,             0.00014862,             0.00014862
                     91,                 0.6128,                0.29788,                0.77375,                0.95455,                0.72027,                0.81622,                0.59784,                0.74964,                 0.3462,                0.78945,             0.00013625,             0.00013625,             0.00013625
                     92,                 0.6051,                0.29493,                0.77447,                0.92879,                0.72912,                0.80754,                0.59271,                0.75827,                0.34679,                0.79055,             0.00012387,             0.00012387,             0.00012387
                     93,                0.60522,                0.29044,                0.77581,                0.94583,                 0.7266,                0.80634,                0.59033,                0.76893,                0.34615,                0.79011,              0.0001115,              0.0001115,              0.0001115
                     94,                0.58589,                 0.2856,                 0.7741,                0.95594,                0.71669,                 0.8038,                0.59312,                 0.7675,                0.34662,                0.79061,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                0.58711,                0.28695,                0.77127,                0.97049,                 0.7158,                 0.8064,                0.59507,                0.76935,                0.35418,                0.79084,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                0.57811,                0.28339,                0.77326,                0.97283,                 0.7262,                0.80868,                0.59917,                 0.7753,                0.35579,                0.79006,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                0.57196,                0.28055,                0.77166,                0.94606,                0.72684,                 0.8082,                0.59983,                0.75708,                0.34766,                0.79034,                6.2e-05,                6.2e-05,                6.2e-05
                     98,                0.56127,                 0.2754,                0.77363,                0.97947,                0.73135,                0.80575,                0.59087,                0.75723,                0.34686,                0.79049,             4.9625e-05,             4.9625e-05,             4.9625e-05
                     99,                0.58145,                0.28175,                0.77217,                0.98383,                0.72638,                0.80718,                0.59833,                0.75884,                0.35198,                0.79019,              3.725e-05,              3.725e-05,              3.725e-05
                    100,                0.56621,                0.27847,                0.77107,                0.98291,                0.73143,                0.80661,                0.59406,                0.75473,                0.34942,                0.79002,             2.4875e-05,             2.4875e-05,             2.4875e-05
